Product,Return_Reason,Category
Electric Kettle,Issue: Color inaccurate during use,Color Mismatch
Bluetooth Speaker,Sleeves too short after first use,Size Issue
Curtains,Issue: Order mixed up,Wrong Item
Headphones,Product has Too loose,Size Issue
Smartwatch,Neck too tight after first use,Size Issue
T-Shirt,Product has Stopped working after one day during use,Quality Issue
Curtains,Received Incorrect product during use,Wrong Item
Headphones,Issue: Delivery rescheduled,Delivery Delay
Laptop,Charging very slow,Battery Issue
Bluetooth Speaker,Issue: Battery not charging,Battery Issue
Mixer,Received Wrong item delivered,Wrong Item
Power Bank,Needed earlier during use,Delivery Delay
Chair,Color looks different during use,Color Mismatch
Laptop,Product has Package arrived after event,Delivery Delay
Electric Kettle,Issue: Cable missing,Missing Parts
Curtains,Issue: Design color mismatch during use,Color Mismatch
Jeans,Product has Battery swollen,Battery Issue
Power Bank,Wrong color received,Color Mismatch
Bedsheet,Product has Delivered too late during use,Delivery Delay
Mouse,Received Battery not charging,Battery Issue
Air Fryer,Accessories missing during use,Missing Parts
Chair,Design color mismatch,Color Mismatch
Handbag,Received Zip not working after first use,Quality Issue
T-Shirt,Material feels cheap during use,Quality Issue
Shirt,Shuts down suddenly,Battery Issue
Water Bottle,Received Waist too tight during use,Size Issue
Keyboard,Issue: Battery backup poor,Battery Issue
Phone,Battery overheats,Battery Issue
Sandals,Product has Stand missing during use,Missing Parts
Power Bank,Received Battery backup poor during use,Battery Issue
Power Bank,Received Wrong item delivered,Wrong Item
Power Bank,Received Battery not charging,Battery Issue
Curtains,Received Wrong color and model during use,Wrong Item
Backpack,Issue: Received another product,Wrong Item
Table,Received Glass shattered,Damaged Product
Shirt,Issue: Wrong variant delivered,Wrong Item
Sandals,Too loose,Size Issue
Electric Kettle,Product has Late shipment,Delivery Delay
Handbag,Product has Expected black got blue,Color Mismatch
Handbag,Incorrect size sent,Wrong Item
Jeans,Order mixed up,Wrong Item
Mixer,Received Battery not charging during use,Battery Issue
Kurti,Battery backup poor,Battery Issue
Bluetooth Speaker,Issue: Incorrect size sent,Wrong Item
Power Bank,Wrong color received after first use,Color Mismatch
Chair,Received Glass shattered,Damaged Product
Bluetooth Speaker,Missing screws,Missing Parts
Sandals,Received Package arrived after event,Delivery Delay
T-Shirt,Product has One part missing during use,Missing Parts
Chair,Received Too loose,Size Issue
Handbag,Issue: Broken on arrival,Damaged Product
Kurti,Accessories missing,Missing Parts
T-Shirt,Order mixed up after first use,Wrong Item
Power Bank,Received Charging very slow,Battery Issue
Bedsheet,Product has Stand missing during use,Missing Parts
Helmet,Issue: Stopped working after one day,Quality Issue
Laptop,Issue: Length too short during use,Size Issue
T-Shirt,Received Dent on product,Damaged Product
Backpack,Received Color different from image after first use,Color Mismatch
Shoes,Product has Stopped working after one day,Quality Issue
Air Fryer,Product has Size too small after first use,Size Issue
Electric Kettle,Broken on arrival after first use,Damaged Product
Air Fryer,Product has Package torn,Damaged Product
Kurti,Product has Waist too tight,Size Issue
T-Shirt,Incorrect size sent after first use,Wrong Item
Headphones,Length too short,Size Issue
Bluetooth Speaker,Doesn't fit after first use,Size Issue
T-Shirt,Attachment missing during use,Missing Parts
Keyboard,Package arrived after event,Delivery Delay
Headphones,Very slow delivery,Delivery Delay
Handbag,Order mixed up,Wrong Item
Smartwatch,Courier delay during use,Delivery Delay
Shoes,Received Delivery delayed,Delivery Delay
Kurti,Received Battery not charging,Battery Issue
Helmet,Image misleading,Color Mismatch
Helmet,Issue: Very slow delivery,Delivery Delay
Bedsheet,Product has Handle broke during use,Quality Issue
Smartwatch,Received Missed delivery date during use,Delivery Delay
Bedsheet,Charger missing,Missing Parts
Sandals,Received One part missing,Missing Parts
Shoes,Battery swollen,Battery Issue
T-Shirt,Received Material feels cheap after first use,Quality Issue
Chair,Too loose,Size Issue
Water Bottle,Issue: Material feels cheap,Quality Issue
Mixer,Received Different design received,Wrong Item
Sandals,Issue: Cracked product after first use,Damaged Product
Chair,Received Sound quality poor,Quality Issue
Headphones,Issue: Different design received,Wrong Item
Sandals,Received Too loose,Size Issue
Curtains,Received Shuts down suddenly,Battery Issue
Phone,Product has Color different from image,Color Mismatch
Kurti,Accessories missing,Missing Parts
Smartwatch,Issue: Glass shattered,Damaged Product
Mixer,Received Battery dies in two hours,Battery Issue
Kurti,Product has Poor stitching,Quality Issue
Bluetooth Speaker,Issue: Size too large during use,Size Issue
Power Bank,Issue: Delayed by one week,Delivery Delay
T-Shirt,Received Scratched item during use,Damaged Product
Sandals,Left earbud not working during use,Quality Issue
Headphones,Issue: Wrong item delivered,Wrong Item
Laptop,Received Size too small after first use,Size Issue
Mixer,Received Shuts down suddenly,Battery Issue
Bedsheet,Issue: Fit not as expected after first use,Size Issue
Chair,Product has Charging very slow,Battery Issue
Backpack,Wrong color received during use,Color Mismatch
Shoes,Received Fit not as expected,Size Issue
Backpack,Issue: Stand missing,Missing Parts
Shirt,Received Material feels cheap after first use,Quality Issue
Shoes,Issue: Package arrived after event,Delivery Delay
Table,Issue: Glass shattered,Damaged Product
Mixer,Received Material feels cheap after first use,Quality Issue
Shoes,Shade not matching,Color Mismatch
Water Bottle,Product has Dent on product after first use,Damaged Product
Bluetooth Speaker,Product has Button came off after first use,Quality Issue
Phone,Issue: Battery not charging during use,Battery Issue
Handbag,Delayed by one week,Delivery Delay
Power Bank,Shade not matching during use,Color Mismatch
Bluetooth Speaker,Late shipment,Delivery Delay
Shoes,Received Pattern different during use,Color Mismatch
Jeans,Received Delivered too late,Delivery Delay
Helmet,Fabric quality poor,Quality Issue
Table,Lid missing,Missing Parts
Handbag,Product has Delayed by one week,Delivery Delay
Kurti,Very slow delivery during use,Delivery Delay
Curtains,Sound quality poor,Quality Issue
Headphones,Issue: Battery drains quickly during use,Battery Issue
Water Bottle,Received Battery dies in two hours during use,Battery Issue
Sandals,One part missing,Missing Parts
Air Fryer,Wrong color received,Color Mismatch
Bluetooth Speaker,Manual missing after first use,Missing Parts
Table,Product has Wrong color received,Color Mismatch
Kurti,Wrong color and model,Wrong Item
Backpack,Received Incorrect product after first use,Wrong Item
Keyboard,Received Material feels cheap,Quality Issue
Phone,Product has Printed color faded,Color Mismatch
Headphones,Product has Missed delivery date after first use,Delivery Delay
T-Shirt,Left earbud not working,Quality Issue
Electric Kettle,Length too short after first use,Size Issue
Phone,Product has Remote missing,Missing Parts
Jeans,Issue: Battery swollen,Battery Issue
Helmet,Received Leaking bottle during use,Damaged Product
Headphones,Received Scratched item during use,Damaged Product
Sandals,Dent on product during use,Damaged Product
Electric Kettle,Issue: Late shipment,Delivery Delay
Laptop,Remote missing after first use,Missing Parts
Handbag,Issue: Wrong item delivered,Wrong Item
T-Shirt,Received Handle broke,Quality Issue
Power Bank,Shuts down suddenly after first use,Battery Issue
Headphones,Issue: Accessories missing,Missing Parts
Jeans,Issue: Ordered medium received small,Size Issue
Backpack,Expected black got blue,Color Mismatch
Air Fryer,Damaged during delivery,Damaged Product
Jeans,Received Battery overheats during use,Battery Issue
Power Bank,Battery swollen,Battery Issue
Bluetooth Speaker,Product has Poor stitching after first use,Quality Issue
Electric Kettle,Received Accessories missing after first use,Missing Parts
Jeans,Product has Different model received during use,Wrong Item
T-Shirt,Issue: Delivery delayed,Delivery Delay
Table,Product has Neck too tight after first use,Size Issue
Shirt,Wrong color and model,Wrong Item
Smartwatch,Product has Bent frame,Damaged Product
Keyboard,Wrong color received,Color Mismatch
Mouse,Ordered medium received small during use,Size Issue
Bedsheet,Printed color faded,Color Mismatch
Headphones,Sound quality poor,Quality Issue
Jeans,Received Shade not matching,Color Mismatch
Electric Kettle,Issue: Shade not matching during use,Color Mismatch
Shoes,Issue: Battery overheats,Battery Issue
Jeans,Product has Received another product,Wrong Item
Keyboard,Issue: Printed color faded,Color Mismatch
Jeans,Product has Late shipment,Delivery Delay
Handbag,Received Color different from image,Color Mismatch
Smartwatch,Issue: Sound quality poor during use,Quality Issue
Phone,Issue: One part missing during use,Missing Parts
Bluetooth Speaker,Pattern different during use,Color Mismatch
Helmet,Product has Material feels cheap,Quality Issue
T-Shirt,Wrong brand received,Wrong Item
Power Bank,Wrong variant delivered during use,Wrong Item
Water Bottle,Issue: Battery swollen,Battery Issue
Smartwatch,Received Color inaccurate,Color Mismatch
Water Bottle,Material feels cheap after first use,Quality Issue
Helmet,Issue: Doesn't fit,Size Issue
Headphones,Received Battery not charging,Battery Issue
Jeans,Stand missing after first use,Missing Parts
Water Bottle,Issue: Package arrived after event,Delivery Delay
Water Bottle,Issue: Power issue,Battery Issue
T-Shirt,Received another product after first use,Wrong Item
Backpack,Very slow delivery,Delivery Delay
Curtains,Issue: Wrong variant delivered after first use,Wrong Item
Laptop,Order mixed up after first use,Wrong Item
Phone,Issue: Stopped working after one day,Quality Issue
Curtains,Color looks different,Color Mismatch
Phone,Product has Wrong variant delivered,Wrong Item
Laptop,Product has Broken on arrival after first use,Damaged Product
Water Bottle,Delivered too late,Delivery Delay
Chair,Product has Design color mismatch,Color Mismatch
Mixer,Issue: Fabric quality poor during use,Quality Issue
Table,Charger missing after first use,Missing Parts
Power Bank,Issue: Wrong color received,Color Mismatch
Electric Kettle,Shade not matching,Color Mismatch
Smartwatch,Battery overheats,Battery Issue
Kurti,Received Handle broke after first use,Quality Issue
Curtains,Product has Battery dies in two hours,Battery Issue
Bluetooth Speaker,Product has Different model received,Wrong Item
Handbag,Received Incorrect size sent,Wrong Item
Handbag,Product has Handle broke,Quality Issue
Sandals,Battery overheats,Battery Issue
Jeans,Color inaccurate,Color Mismatch
Bluetooth Speaker,Product has Too loose,Size Issue
Handbag,Stand missing during use,Missing Parts
Mouse,Product has Wrong variant delivered during use,Wrong Item
Shoes,Order mixed up after first use,Wrong Item
Mouse,Issue: Courier delay after first use,Delivery Delay
Kurti,Received Color inaccurate,Color Mismatch
Kurti,Received Image misleading,Color Mismatch
Headphones,Issue: Sound quality poor,Quality Issue
Headphones,Product has Order mixed up,Wrong Item
Backpack,Waist too tight during use,Size Issue
Air Fryer,Cracked product,Damaged Product
Mouse,Cracked product during use,Damaged Product
Mouse,Late shipment,Delivery Delay
Power Bank,Product has Attachment missing after first use,Missing Parts
Jeans,Received Color different from image during use,Color Mismatch
Chair,Late shipment,Delivery Delay
Bluetooth Speaker,Received Remote missing during use,Missing Parts
Backpack,Color different from image,Color Mismatch
Chair,Received Dent on product,Damaged Product
Power Bank,Attachment missing,Missing Parts
T-Shirt,Issue: Button came off,Quality Issue
Water Bottle,Product has Pattern different after first use,Color Mismatch
Jeans,Attachment missing,Missing Parts
Mouse,Battery dies in two hours during use,Battery Issue
Keyboard,Product has Won't hold charge,Battery Issue
Backpack,Shade not matching,Color Mismatch
Keyboard,Pattern different during use,Color Mismatch
Shirt,Received Order mixed up,Wrong Item
Table,Received Material feels cheap,Quality Issue
Handbag,Late shipment,Delivery Delay
Table,Issue: Damaged during delivery after first use,Damaged Product
Sandals,Product has Remote missing,Missing Parts
Shirt,Issue: Zip not working,Quality Issue
Smartwatch,Product has Remote missing during use,Missing Parts
Curtains,Product has Delivered too late,Delivery Delay
Air Fryer,Issue: Scratched item,Damaged Product
Phone,Issue: One part missing,Missing Parts
Water Bottle,Received Pattern different,Color Mismatch
Headphones,Received Missed delivery date,Delivery Delay
Mixer,Received Received another product after first use,Wrong Item
Mouse,Received Package arrived after event,Delivery Delay
T-Shirt,Wrong variant delivered,Wrong Item
Water Bottle,Product has Charger missing,Missing Parts
Curtains,Waist too tight,Size Issue
Bedsheet,Issue: Late shipment after first use,Delivery Delay
Bluetooth Speaker,Scratched item,Damaged Product
Helmet,Battery not charging after first use,Battery Issue
Sandals,Damaged during delivery after first use,Damaged Product
T-Shirt,Issue: Damaged during delivery,Damaged Product
Sandals,Product has Delivery delayed,Delivery Delay
Handbag,Issue: Charging very slow during use,Battery Issue
Air Fryer,Received Display cracked,Damaged Product
Headphones,Screen flickering,Quality Issue
Phone,Charging very slow during use,Battery Issue
Bedsheet,Received Needed earlier,Delivery Delay
Table,Waist too tight,Size Issue
Power Bank,Printed color faded,Color Mismatch
Keyboard,Issue: Needed earlier,Delivery Delay
Air Fryer,Product has Broken on arrival during use,Damaged Product
Shirt,Received Incorrect size sent,Wrong Item
Helmet,Issue: Cracked product during use,Damaged Product
Backpack,Wrong color received after first use,Color Mismatch
Air Fryer,Product has Battery swollen,Battery Issue
Headphones,Issue: Wrong color and model,Wrong Item
Table,Printed color faded,Color Mismatch
Curtains,Product has Wrong brand received,Wrong Item
Mixer,Product has Stopped working after one day during use,Quality Issue
Handbag,Received Different model received,Wrong Item
Kurti,Issue: Package torn after first use,Damaged Product
Water Bottle,Issue: Delayed by one week,Delivery Delay
Sandals,Product has Very slow delivery after first use,Delivery Delay
Power Bank,Handle broke,Quality Issue
T-Shirt,Screen flickering,Quality Issue
Chair,Product has Bent frame after first use,Damaged Product
Power Bank,Pattern different after first use,Color Mismatch
Keyboard,Issue: Delivery delayed,Delivery Delay
Keyboard,Issue: Needed earlier during use,Delivery Delay
Power Bank,Received Neck too tight,Size Issue
Shirt,Product has Manual missing,Missing Parts
Smartwatch,Received Poor stitching,Quality Issue
Mouse,Size too large,Size Issue
Electric Kettle,Product has Remote missing during use,Missing Parts
Power Bank,Issue: Image misleading during use,Color Mismatch
Kurti,Received Handle broke,Quality Issue
Backpack,Power issue after first use,Battery Issue
Electric Kettle,Damaged during delivery,Damaged Product
Smartwatch,Very slow delivery during use,Delivery Delay
Power Bank,Received Package torn after first use,Damaged Product
Bedsheet,Received another product,Wrong Item
Electric Kettle,Stand missing after first use,Missing Parts
T-Shirt,Broken on arrival,Damaged Product
Sandals,Delayed by one week after first use,Delivery Delay
Power Bank,Product has Ordered medium received small,Size Issue
Kurti,Damaged during delivery,Damaged Product
Air Fryer,Bent frame,Damaged Product
Mixer,Product has Expected black got blue,Color Mismatch
Mixer,Received Glass shattered,Damaged Product
Chair,Issue: Charging very slow,Battery Issue
Keyboard,Received Image misleading during use,Color Mismatch
Mixer,Issue: Remote missing after first use,Missing Parts
Headphones,Received Missed delivery date after first use,Delivery Delay
Chair,Issue: Delivered too late during use,Delivery Delay
Headphones,Received Charging very slow after first use,Battery Issue
Power Bank,Received Wrong color received,Color Mismatch
Bluetooth Speaker,Issue: Damaged during delivery,Damaged Product
Laptop,Size too large,Size Issue
Laptop,Received Leaking bottle,Damaged Product
Laptop,Sleeves too short during use,Size Issue
Curtains,Product has Bent frame during use,Damaged Product
Air Fryer,Received Scratched item during use,Damaged Product
Handbag,Received Very slow delivery,Delivery Delay
Keyboard,Issue: Wrong brand received during use,Wrong Item
Electric Kettle,Received Stopped working after one day after first use,Quality Issue
Smartwatch,Color looks different,Color Mismatch
Shirt,Received Cracked product,Damaged Product
Kurti,Product has Manual missing,Missing Parts
Table,Product has Glass shattered during use,Damaged Product
Electric Kettle,Issue: Printed color faded during use,Color Mismatch
Bedsheet,Received Needed earlier after first use,Delivery Delay
Mouse,Product has Power issue,Battery Issue
Jeans,Neck too tight,Size Issue
Kurti,Product has Ordered medium received small,Size Issue
Laptop,Battery drains quickly during use,Battery Issue
Helmet,Color different from image during use,Color Mismatch
Shirt,Delivered too late,Delivery Delay
Shirt,Missing screws,Missing Parts
Keyboard,Issue: Wrong item delivered after first use,Wrong Item
Keyboard,Product has Fabric quality poor after first use,Quality Issue
Keyboard,Received Bent frame,Damaged Product
Shoes,Received Wrong color and model during use,Wrong Item
Headphones,Product has Delayed by one week,Delivery Delay
Shoes,Issue: Poor stitching during use,Quality Issue
Mouse,Attachment missing,Missing Parts
Mouse,Issue: Battery not charging,Battery Issue
Jeans,Product has Handle broke after first use,Quality Issue
Jeans,Late shipment,Delivery Delay
Air Fryer,Doesn't fit after first use,Size Issue
Shoes,Received Charging very slow after first use,Battery Issue
Backpack,Bent frame,Damaged Product
Curtains,Remote missing,Missing Parts
T-Shirt,Issue: Color different from image after first use,Color Mismatch
Helmet,Sound quality poor,Quality Issue
Shirt,Received One part missing during use,Missing Parts
Water Bottle,Missed delivery date during use,Delivery Delay
Sandals,Remote missing during use,Missing Parts
Mixer,Product has Screen flickering,Quality Issue
Kurti,Issue: Left earbud not working after first use,Quality Issue
Water Bottle,One part missing,Missing Parts
Power Bank,Received Waist too tight,Size Issue
Shoes,Product has Button came off during use,Quality Issue
Chair,Very slow delivery during use,Delivery Delay
Shoes,Received Poor stitching,Quality Issue
Helmet,Received Screen flickering during use,Quality Issue
Smartwatch,Issue: Waist too tight,Size Issue
Keyboard,Product has Bent frame during use,Damaged Product
Bluetooth Speaker,Received Battery overheats,Battery Issue
Shoes,Product has Needed earlier during use,Delivery Delay
Mixer,Issue: Wrong color and model,Wrong Item
Headphones,Issue: Printed color faded,Color Mismatch
T-Shirt,Product has Leaking bottle,Damaged Product
Air Fryer,Ordered medium received small during use,Size Issue
Air Fryer,Issue: Design color mismatch,Color Mismatch
Air Fryer,Shuts down suddenly after first use,Battery Issue
Phone,Issue: Package arrived after event,Delivery Delay
Table,Product has Order mixed up,Wrong Item
Backpack,Received Manual missing,Missing Parts
Chair,Product has Bent frame,Damaged Product
Curtains,Product has Fit not as expected during use,Size Issue
Smartwatch,Issue: Different model received after first use,Wrong Item
Bluetooth Speaker,Product has Received another product during use,Wrong Item
Power Bank,Accessories missing during use,Missing Parts
Keyboard,Issue: Attachment missing,Missing Parts
Curtains,Length too short,Size Issue
Electric Kettle,Product has Fabric quality poor,Quality Issue
Jeans,Won't hold charge during use,Battery Issue
T-Shirt,Image misleading,Color Mismatch
Keyboard,Received another product,Wrong Item
Water Bottle,Issue: Leaking bottle during use,Damaged Product
Shirt,Issue: Battery dies in two hours,Battery Issue
Shoes,Wrong color and model after first use,Wrong Item
Air Fryer,Issue: Printed color faded after first use,Color Mismatch
Mouse,Package arrived after event during use,Delivery Delay
Shoes,Received Package arrived after event,Delivery Delay
Air Fryer,Poor stitching after first use,Quality Issue
Phone,Scratched item after first use,Damaged Product
Smartwatch,Issue: Pattern different after first use,Color Mismatch
Phone,Issue: Remote missing during use,Missing Parts
Laptop,Issue: Too loose,Size Issue
Shirt,Product has Charger missing after first use,Missing Parts
Table,Different model received,Wrong Item
Air Fryer,Product has Battery dies in two hours during use,Battery Issue
Sandals,Issue: Left earbud not working,Quality Issue
Backpack,Color inaccurate during use,Color Mismatch
Water Bottle,Issue: Sound quality poor,Quality Issue
Helmet,Shuts down suddenly,Battery Issue
T-Shirt,Product has Battery dies in two hours,Battery Issue
Water Bottle,Product has Button came off,Quality Issue
Helmet,Product has Charger missing,Missing Parts
Phone,Issue: Charger missing,Missing Parts
Phone,Issue: Power issue,Battery Issue
Air Fryer,Issue: Battery overheats,Battery Issue
Shirt,Issue: Length too short after first use,Size Issue
Chair,Glass shattered during use,Damaged Product
Smartwatch,Issue: Lid missing during use,Missing Parts
Table,Battery not charging after first use,Battery Issue
Bluetooth Speaker,Product has Wrong item delivered,Wrong Item
Electric Kettle,Issue: Incorrect size sent,Wrong Item
Keyboard,Very slow delivery,Delivery Delay
Electric Kettle,Left earbud not working,Quality Issue
Chair,Product has Fit not as expected during use,Size Issue
Mixer,Zip not working during use,Quality Issue
Shoes,Issue: Wrong brand received,Wrong Item
Bedsheet,Package torn,Damaged Product
Helmet,Product has Remote missing after first use,Missing Parts
Table,Received Damaged during delivery,Damaged Product
Chair,Product has Different design received,Wrong Item
